PLAYER_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,isHOF
17,75.0,68.0,2555.0,542.0,1142.0,0.47,60.0,168.0,0.317,286.0,368.0,0.794,154.0,272.0,445.0,382.0,136.0,45.0,189.0,209.0,1377.0,1
23,78.0,47.0,2177.5,169.5,375.5,0.5135000000000001,4.5,21.0,0.187,74.5,118.5,0.5774999999999999,331.5,556.0,853.0,100.5,47.5,38.5,107.0,215.0,421.5,1
56,81.0,80.0,2827.0,482.0,1024.0,0.456,55.0,182.0,0.298,180.0,276.0,0.721,79.0,192.0,281.0,506.0,133.0,18.0,174.0,181.0,1199.0,1
87,74.5,63.5,2211.0,221.0,455.0,0.5055000000000001,0.0,0.0,0.0,203.0,288.0,0.695,220.5,529.5,778.0,66.5,24.5,168.5,119.0,180.0,645.0,1
121,79.0,79.0,2783.0,656.0,1282.0,0.503,0.0,6.0,0.0,351.0,476.0,0.738,157.0,527.0,740.0,151.0,69.0,161.0,229.0,250.0,1711.0,1
165,72.0,72.0,2778.5,677.0,1295.0,0.509,0.0,4.5,0.0,349.0,536.5,0.7144999999999999,224.0,547.0,782.5,153.0,124.0,220.5,231.0,256.5,1723.5,1
185,54.0,54.0,2067.0,464.0,938.0,0.482,5.0,28.0,0.276,143.0,228.0,0.638,149.0,389.0,545.0,256.0,83.0,62.0,158.0,181.0,1085.0,1
247,76.0,71.5,2561.0,435.0,931.5,0.459,69.0,170.5,0.394,255.5,307.0,0.836,53.5,113.0,162.5,360.0,64.5,5.0,158.5,132.0,1173.5,1
252,82.0,82.0,3040.0,780.0,1476.0,0.519,3.0,14.0,0.25,521.0,708.0,0.761,189.0,616.0,834.0,285.0,113.0,59.0,240.0,245.0,2106.0,1
255,68.5,67.5,2280.0,371.0,728.5,0.4815,3.5,23.5,0.257,209.0,254.0,0.765,69.5,270.0,345.5,196.5,64.5,32.0,130.0,149.5,959.5,1
297,60.0,46.0,1753.0,324.0,634.0,0.518,0.0,1.0,0.0,276.0,423.0,0.652,166.0,341.0,507.0,52.0,27.0,178.0,139.0,207.0,924.0,1
304,82.0,82.0,2842.0,416.0,775.0,0.507,43.0,113.0,0.358,246.0,306.0,0.827,54.0,172.0,227.0,860.0,166.0,16.0,246.0,215.0,1183.0,1
305,79.0,78.0,2312.0,505.0,911.0,0.542,0.0,0.0,0.0,203.0,284.0,0.715,246.0,532.0,777.0,115.0,58.0,107.0,184.5,215.0,1223.0,1
397,81.0,80.5,2730.0,504.5,1054.0,0.4675,142.0,351.5,0.4015,377.5,416.5,0.891,42.0,187.5,225.5,248.5,83.0,15.5,138.0,159.5,1550.5,1
406,61.0,61.0,2175.0,554.0,991.0,0.583,0.0,1.0,0.0,309.0,519.0,0.513,195.0,446.0,640.0,152.0,36.0,137.0,171.0,225.0,1434.0,1
467,77.0,76.0,2653.0,310.0,793.0,0.403,94.0,293.0,0.351,142.0,192.0,0.808,86.0,354.0,445.0,655.0,134.0,23.0,192.0,127.0,864.0,1
708,71.0,71.0,2293.0,434.0,900.0,0.497,3.0,16.0,0.24,187.0,221.0,0.8,166.0,455.0,618.0,202.0,89.0,89.0,135.0,170.0,1056.0,1
764,80.0,80.0,2560.5,568.0,1069.5,0.51,0.5,3.0,0.0625,439.0,610.5,0.732,231.5,572.5,802.0,172.5,104.0,229.5,186.0,223.5,1576.0,1
782,77.5,77.5,2758.0,623.0,1327.5,0.4465,81.5,231.0,0.3685,384.5,455.0,0.859,56.5,215.5,277.5,246.5,91.5,16.0,208.5,208.5,1730.5,1
787,69.5,66.5,2565.0,568.5,1086.0,0.5325,33.5,146.0,0.2325,412.5,565.0,0.7395,250.5,553.0,807.5,280.0,110.0,47.5,214.0,198.5,1583.5,1
893,82.0,82.0,3102.0,920.0,1837.0,0.495,27.0,93.0,0.276,548.0,657.0,0.837,130.0,369.0,492.0,377.0,182.0,54.0,200.0,195.0,2431.0,1
896,66.0,52.0,2321.0,408.0,985.0,0.421,102.0,309.0,0.36,145.0,182.0,0.79,26.0,144.0,190.0,483.0,88.0,10.0,189.0,152.0,1150.0,1
904,61.0,52.5,2105.0,424.0,830.5,0.5035000000000001,50.0,133.0,0.369,183.5,216.0,0.8745,43.0,168.5,218.5,227.5,96.5,34.5,146.5,133.0,1091.5,1
937,77.0,72.0,2749.0,413.0,867.0,0.463,54.0,177.0,0.309,199.0,291.0,0.706,138.0,344.0,496.0,403.0,133.0,52.0,207.0,213.0,1048.0,1
947,58.5,56.0,2372.5,508.0,1219.0,0.4205,60.0,199.0,0.3115,369.0,504.5,0.7835000000000001,39.0,170.0,212.5,326.5,119.0,8.0,219.5,96.5,1496.5,1
951,77.0,74.0,2581.0,472.0,1001.5,0.447,156.5,388.5,0.394,223.0,249.0,0.903,67.5,214.5,276.0,222.0,73.0,12.5,141.5,150.0,1312.5,1
959,75.0,74.5,2490.5,398.0,828.0,0.4895,91.5,218.5,0.4165,211.0,231.5,0.9025000000000001,33.0,175.0,227.5,649.0,53.0,5.0,219.0,115.0,1117.0,1
977,72.0,67.0,2734.0,637.5,1423.0,0.451,93.0,294.0,0.3255,464.5,549.0,0.839,78.5,302.5,395.5,349.0,106.0,32.5,215.0,178.0,1878.5,1
1112,70.5,69.5,1967.0,148.0,313.0,0.455,0.0,3.5,0.0,59.5,146.0,0.419,222.5,361.0,600.5,98.5,79.0,103.5,65.5,126.0,364.5,1
1122,78.0,76.0,2697.0,698.0,1584.0,0.464,37.0,128.0,0.292,442.0,522.0,0.818,210.0,291.0,482.0,169.0,92.0,47.0,180.0,138.0,1923.0,1
1449,77.0,75.0,2965.0,719.0,1497.0,0.492,56.0,131.0,0.389,328.0,380.0,0.891,164.0,615.0,796.0,458.0,135.0,61.0,240.0,185.0,1820.0,1
1450,78.0,25.0,2390.0,550.0,912.0,0.549,0.0,4.0,0.0,326.0,420.0,0.797,191.0,377.0,553.0,126.0,27.0,134.0,149.0,234.0,1446.0,1
1460,80.0,72.5,2554.5,613.5,1114.0,0.5435000000000001,2.0,19.5,0.16699999999999998,203.5,261.5,0.779,146.5,250.0,393.0,239.0,89.0,55.5,157.5,182.5,1444.0,1
1495,76.0,76.0,2523.0,561.0,1107.0,0.5,1.0,7.0,0.111,319.0,463.0,0.702,213.0,599.0,800.0,224.0,55.0,162.0,165.0,165.0,1450.0,1
1503,66.0,39.0,1745.0,410.0,1011.0,0.431,44.0,117.0,0.339,245.0,340.0,0.733,56.0,261.0,307.0,252.0,66.0,41.0,120.0,94.0,1147.0,1
1718,77.0,77.0,2583.0,486.0,1092.0,0.443,111.0,300.0,0.374,369.0,449.0,0.809,53.0,358.0,411.0,260.0,84.0,34.0,178.0,210.0,1430.0,1
1938,69.0,7.0,1568.5,272.5,608.0,0.447,88.5,240.0,0.3675,166.0,205.0,0.8265,36.0,178.5,206.5,268.5,89.0,17.0,135.5,146.0,788.0,1
2397,67.0,64.5,2213.0,449.5,876.0,0.5175000000000001,0.0,1.5,0.0,350.5,409.5,0.8514999999999999,184.0,447.0,631.5,108.0,27.5,129.0,178.0,212.5,1240.0,1
2547,70.0,70.0,2526.0,492.0,1005.0,0.494,10.0,35.0,0.339,384.0,471.0,0.798,174.0,424.0,583.0,144.0,59.0,77.0,138.0,170.0,1361.0,1
