,Player,NBA
0,Kareem Abdul-Jabbar,19
1,Kobe Bryant,18
2,LeBron James,18
3,Julius Erving,11
4,Tim Duncan,15
5,Kevin Garnett,15
6,Shaquille O'Neal,15
7,Michael Jordan,14
8,Karl Malone,14
9,Dirk Nowitzki,14
10,Jerry West,14
11,Wilt Chamberlain,13
12,Bob Cousy,13
13,John Havlicek,13
14,Moses Malone,12
15,Dwyane Wade,13
16,Rick Barry,8
17,Larry Bird,12
18,Kevin Durant,12
19,George Gervin,9
20,Elvin Hayes,12
21,Magic Johnson,12
22,Hakeem Olajuwon,12
23,Chris Paul,12
24,Oscar Robertson,12
25,Bill Russell,12
26,Dolph Schayes,12
27,Isiah Thomas,12
28,Charles Barkley,11
29,Elgin Baylor,11
30,Chris Bosh,11
31,Patrick Ewing,11
32,Artis Gilmore,6
33,Allen Iverson,11
34,Bob Pettit,11
35,Ray Allen,10
36,Carmelo Anthony,10
37,Paul Arizin,10
38,Clyde Drexler,10
39,Hal Greer,10
40,James Harden,10
41,Jason Kidd,10
42,Paul Pierce,10
43,David Robinson,10
44,John Stockton,10
45,Robert Parish,9
46,Gary Payton,9
47,Russell Westbrook,9
48,Lenny Wilkens,9
49,Dominique Wilkins,9
51,Vince Carter,8
52,Dave Cowens,8
53,Stephen Curry,8
54,Anthony Davis,8
55,Dave DeBusschere,8
56,Alex English,8
57,Larry Foust,8
58,Dwight Howard,8
59,Bob Lanier,8
60,Yao Ming,8
61,Dikembe Mutombo,8
62,Steve Nash,8
63,Bill Sharman,8
64,LaMarcus Aldridge,7
65,Dave Bing,7
68,Walt Frazier,7
69,Harry Gallatin,7
70,Paul George,7
71,Grant Hill,7
72,Kyrie Irving,7
73,Dan Issel,1
74,Joe Johnson,7
75,Jerry Lucas,7
76,Ed Macauley,7
77,Slater Martin,7
78,Tracy McGrady,7
79,Dick McGuire,7
80,Kevin McHale,7
81,Alonzo Mourning,7
82,Scottie Pippen,7
83,Willis Reed,7
84,Jack Sikma,7
85,Nate Thurmond,7
86,Chet Walker,7
87,Jo Jo White,7
88,James Worthy,7
89,Giannis Antetokounmpo,6
90,Tiny Archibald,6
