Rank,Player,HoF Prob
1,Kareem Abdul-Jabbar*,1
2,LeBron James,1
3,Michael Jordan*,1
4,Bill Russell*,1
5,Kobe Bryant*,1
6,Wilt Chamberlain*,1
7,Tim Duncan*,1
8,Shaquille O'Neal*,1
9,John Havlicek*,1
10,Oscar Robertson*,1
11,Bob Cousy*,1
12,Kevin Garnett*,1
13,Jerry West*,1
14,Magic Johnson*,1
15,Karl Malone*,1
16,Chris Paul,1
17,Kevin Durant,1
18,Hakeem Olajuwon*,1
19,Dwyane Wade,1
20,Dirk Nowitzki,1
21,Larry Bird*,1
22,Elvin Hayes*,1
23,David Robinson*,1
24,Moses Malone*,1
25,Dolph Schayes*,1
26,John Stockton*,1
27,Bob Pettit*,1
28,Stephen Curry,1
29,Isiah Thomas*,1
30,James Harden,0.9999
31,Charles Barkley*,0.9998
32,Allen Iverson*,0.9998
33,Elgin Baylor*,0.9998
34,Paul Arizin*,0.9998
35,Jason Kidd*,0.9997
36,Sam Jones*,0.9995
37,George Mikan*,0.9995
38,Gary Payton*,0.9994
39,Patrick Ewing*,0.9994
40,Russell Westbrook,0.9993
41,Julius Erving*,0.999
42,Scottie Pippen*,0.999
43,Ray Allen*,0.9987
44,Clyde Drexler*,0.9978
45,Paul Pierce*,0.9974
46,Hal Greer*,0.9974
47,Dwight Howard,0.9973
48,Bill Sharman*,0.997
49,Robert Parish*,0.9961
50,Chris Bosh*,0.9951
51,Rick Barry*,0.995
52,Walt Frazier*,0.9949
53,Slater Martin*,0.9943
54,Tom Heinsohn*,0.9938
55,Neil Johnston*,0.9926
56,Anthony Davis,0.9881
57,Lenny Wilkens*,0.988
58,Ed Macauley*,0.9873
59,Kevin McHale*,0.9864
60,Dave Cowens*,0.9864
61,Bob McAdoo*,0.9863
62,Tiny Archibald*,0.9842
63,Carmelo Anthony,0.9842
64,Steve Nash*,0.9829
65,George Gervin*,0.9787
66,Dominique Wilkins*,0.9787
67,Vern Mikkelsen*,0.9771
68,Willis Reed*,0.9733
69,Dikembe Mutombo*,0.9691
70,Jerry Lucas*,0.9608
71,Tracy McGrady*,0.9555
72,Bob Lanier*,0.9494
73,Vince Carter,0.9455
74,Larry Foust,0.942
75,Tony Parker,0.9386
76,Chet Walker*,0.9378
77,Bailey Howell*,0.9362
78,Pau Gasol,0.9335
79,Alonzo Mourning*,0.931
80,Dave Bing*,0.9188
81,Alex English*,0.9128
82,James Worthy*,0.9077
83,Damian Lillard,0.9063
84,Grant Hill*,0.8911
85,Adrian Dantley*,0.8862
86,Jack Sikma*,0.8698
87,Jo Jo White*,0.8692
