,id,full_name,first_name,last_name,is_active
0,76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False
1,951,Ray Allen,Ray,Allen,False
2,76054,Nate Archibald,Nate,Archibald,False
3,76056,Paul Arizin,Paul,Arizin,False
4,787,Charles Barkley,Charles,Barkley,False
5,600013,Rick Barry,Rick,Barry,False
6,76127,Elgin Baylor,Elgin,Baylor,False
7,76144,Walt Bellamy,Walt,Bellamy,False
8,76166,Dave Bing,Dave,Bing,False
9,1449,Larry Bird,Larry,Bird,False
10,2547,Chris Bosh,Chris,Bosh,False
11,76243,Carl Braun,Carl,Braun,False
12,977,Kobe Bryant,Kobe,Bryant,False
13,76375,Wilt Chamberlain,Wilt,Chamberlain,False
14,76385,Maurice Cheeks,Maurice,Cheeks,False
15,76454,Larry Costello,Larry,Costello,False
16,600003,Bob Cousy,Bob,Cousy,False
17,76462,Dave Cowens,Dave,Cowens,False
18,76487,Billy Cunningham,Billy,Cunningham,False
19,76500,Bob Dandridge,Bob,Dandridge,False
20,76504,Adrian Dantley,Adrian,Dantley,False
21,76514,Bob Davies,Bob,Davies,False
22,76545,Dave DeBusschere,Dave,DeBusschere,False
23,17,Clyde Drexler,Clyde,Drexler,False
24,247,Joe Dumars,Joe,Dumars,False
25,1495,Tim Duncan,Tim,Duncan,False
26,76668,Wayne Embry,Wayne,Embry,False
27,76673,Alex English,Alex,English,False
28,76681,Julius Erving,Julius,Erving,False
29,121,Patrick Ewing,Patrick,Ewing,False
30,201607,Patrick Ewing,Patrick,Ewing,False
31,76750,Walt Frazier,Walt,Frazier,False
32,76764,Joe Fulks,Joe,Fulks,False
33,76773,Harry Gallatin,Harry,Gallatin,False
34,708,Kevin Garnett,Kevin,Garnett,False
35,76804,George Gervin,George,Gervin,False
36,600014,Artis Gilmore,Artis,Gilmore,False
37,1938,Manu Ginobili,Manu,Ginobili,False
38,76828,Tom Gola,Tom,Gola,False
39,76832,Gail Goodrich,Gail,Goodrich,False
